state,visited,delta,almond,blueberry,peach,grapefruit,watermelon,pumpkin
Alabama,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0
California,98,2,100,0,20,20,16,0
Colorado,0,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0
Florida,98,4,0,0,0,60.1,19,0
Georgia,60,5,0,17,0,0,17,0
Hawaii,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0
Illinois,50,5,0,0,0,0,0,45.2
Indiana,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0
Michigan,60,8,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0,0
Missouri,0,0,0,17,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0
North Dakota,10,3,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0
Oregon,30,3,0,15.9,0,0,0,0
Pennsylvania,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0
Texas,40,4,0,0,0,19.8,14,0
Utah,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0
Washington,80,4,0,17.8,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0
